"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
339996.563,840,26695150000000,18624475000000,"United States",78515.94076261294,"North America",1
0.00505,840,26695150000000,18624475000000,"United States",5286168316831.683,"North America",2
1425671.352,156,21865482000000,11218281029298,"China",15336.97227578155,"Asia",3
-0.00015,156,21865482000000,11218281029298,"China",-145769880000000,"Asia",4
123294.513,392,5291351000000,4936211827875,"Japan",42916.35427441933,"Asia",5
-0.0053,392,5291351000000,4936211827875,"Japan",-998368113207.5471,"Asia",6
83294.633,276,4564778000000,3477796274497,"Germany",54802.78663332366,"Europe",7
-0.0009,276,4564778000000,3477796274497,"Germany",-5071975555555.556,"Europe",8
1428627.663,356,3893670000000,2259642382872,"India",2725.4617146525184,"Asia",9
0.00808,356,3893670000000,2259642382872,"India",481889851485.1485,"Asia",10
67736.802,826,3686935000000,2647898654635,"United Kingdom",54430.308062078286,"Europe",11
0.00338,826,3686935000000,2647898654635,"United Kingdom",1090809171597.6332,"Europe",12
64756.584,250,3086226000000,2465453975282,"France",47658.87589129161,"Europe",13
0.00201,250,3086226000000,2465453975282,"France",1535435820895.5222,"Europe",14
38781.291,124,2362318000000,1529760492201,"Canada",60913.85663257059,"North America",15
0.0085,124,2362318000000,1529760492201,"Canada",277919764705.8823,"North America",16
58870.762,380,2169384000000,1858913163928,"Italy",36849.93919392448,"Europe",17
-0.00282,380,2169384000000,1858913163928,"Italy",-769285106382.9788,"Europe",18
216422.446,76,1980483000000,1795925681016,"Brazil",9151.00552925088,"South America",19
0.00515,76,1980483000000,1795925681016,"Brazil",384559805825.2427,"South America",20
51784.059,410,1919562000000,1411245589977,"South Korea",37068.58900342285,"Asia",21
-0.00061,410,1919562000000,1411245589977,"South Korea",-3146822950819.6724,"Asia",22
26439.111,36,1828394000000,1304463104965,"Australia",69154.89707653181,"Oceania",23
0.01,36,1828394000000,1304463104965,"Australia",182839400000,"Oceania",24
89172.767,364,1782602000000,425402616011,"Iran",19990.43048647352,"Asia",25
0.00703,364,1782602000000,425402616011,"Iran",253570697012.80228,"Asia",26
144444.359,643,1713154000000,1246015056927,"Russia",11860.303938902867,"Europe",27
-0.00186,643,1713154000000,1246015056927,"Russia",-921050537634.4084,"Europe",28
47519.628,724,1519090000000,1237255019654,"Spain",31967.632406549987,"Europe",29
-0.00082,724,1519090000000,1237255019654,"Spain",-1852548780487.805,"Europe",30
277534.122,360,1410748000000,932259177621,"Indonesia",5083.151541272464,"Asia",31
0.00738,360,1410748000000,932259177621,"Indonesia",191158265582.65582,"Asia",32
128455.567,484,1379727000000,1076914464477,"Mexico",10740.889104479216,"North America",33
0.00746,484,1379727000000,1076914464477,"Mexico",184950000000,"North America",34
17618.299,528,1072789000000,777227541581,"Netherlands",60890.61151703692,"Europe",35
0.00309,528,1072789000000,777227541581,"Netherlands",347180906148.8673,"Europe",36
36947.025,682,1021905000000,639617050945,"Saudi Arabia",27658.654519545213,"Asia",37
0.01478,682,1021905000000,639617050945,"Saudi Arabia",69141069012.17862,"Asia",38
23923.276,158,892516000000,0,"Taiwan",37307.43230985589,"Asia",39
0.00125,158,892516000000,0,"Taiwan",714012800000,"Asia",40
8796.669,756,888199000000,668851296244,"Switzerland",100969.92395644306,"Europe",41
0.00643,756,888199000000,668851296244,"Switzerland",138133592534.99222,"Europe",42
41026.067,616,755645000000,471402266588,"Poland",18418.655631796242,"Europe",43
0.02933,616,755645000000,471402266588,"Poland",25763552676.440506,"Europe",44
85816.199,792,714305000000,863711710542,"Turkey",8323.661596804119,"Europe",45
0.00557,792,714305000000,863711710542,"Turkey",128241472172.35187,"Europe",46
10612.086,752,669872000000,514475856961,"Sweden",63123.49899916002,"Europe",47
0.00595,752,669872000000,514475856961,"Sweden",112583529411.76471,"Europe",48
11686.14,56,639716000000,467955267357,"Belgium",54741.42873523678,"Europe",49
0.00259,56,639716000000,467955267357,"Belgium",246994594594.5946,"Europe",50
223804.632,566,580121000000,404649125399,"Nigeria",2592.0866552931757,"Africa",51
0.02408,566,580121000000,404649125399,"Nigeria",24091403654.48505,"Africa",52
45773.884,32,573633000000,545866164479,"Argentina",12531.883901309315,"South America",53
0.00579,32,573633000000,545866164479,"Argentina",99073056994.81865,"South America",54
5056.935,372,562134000000,304819019837,"Ireland",111161.00958386848,"Europe",55
0.00673,372,562134000000,304819019837,"Ireland",83526597325.40863,"Europe",56
71801.279,764,556372000000,407026319505,"Thailand",7748.7756172142845,"Asia",57
0.00145,764,556372000000,407026319505,"Thailand",383704827586.2069,"Asia",58
5474.36,578,549732999999.99994,371068933176,"Norway",100419.59242724263,"Europe",59
0.00737,578,549732999999.99994,371068933176,"Norway",74590637720.48845,"Europe",60
9174.52,376,547765000000,317747579750,"Israel",59705.03088989942,"Asia",61
0.01507,376,547765000000,317747579750,"Israel",36348042468.48042,"Asia",62
8958.96,40,518808000000,390799991147,"Austria",57909.4001982373,"Europe",63
0.00216,40,518808000000,390799991147,"Austria",240188888888.8889,"Europe",64
9516.871,784,506234000000,348743627620,"United Arab Emirates",53193.32373003691,"Asia",65
0.00802,784,506234000000,348743627620,"United Arab Emirates",63121446384.03991,"Asia",66
34308.525,458,481988000000,296531469473,"Malaysia",14048.63659979553,"Asia",67
0.01091,458,481988000000,296531469473,"Malaysia",44178551787.35105,"Asia",68
98858.95,704,462644000000,205276171343,"Vietnam",4679.839306405743,"Asia",69
0.00685,704,462644000000,205276171343,"Vietnam",67539270072.9927,"Asia",70
6014.723,702,450999000000,296946278392,"Singapore",74982.50542876206,"Asia",71
0.00653,702,450999000000,296946278392,"Singapore",69065696784.0735,"Asia",72
112716.598,818,450361000000,270143813412,"Egypt",3995.5162592824176,"Africa",73
0.01556,818,450361000000,270143813412,"Egypt",28943508997.42931,"Africa",74
60414.495,710,447720000000,295440009818,"South Africa",7410.804311117721,"Africa",75
0.00869,710,447720000000,295440009818,"South Africa",51521288837.74453,"Africa",76
117337.368,608,445827000000,304905638877,"Philippines",3799.5312797539486,"Asia",77
0.01539,608,445827000000,304905638877,"Philippines",28968615984.40546,"Asia",78
172954.319,50,438436000000,220836732893,"Bangladesh",2534.981505723485,"Asia",79
0.01033,50,438436000000,220836732893,"Bangladesh",42442981606.969986,"Asia",80
5910.913,208,419266000000,306899653410,"Denmark",70930.83589624817,"Europe",81
0.00487,208,419266000000,306899653410,"Denmark",86091581108.82956,"Europe",82
7491.609,344,391338000000,320912235499,"Hong Kong",52236.84257947791,"Asia",83
0.00037,344,391338000000,320912235499,"Hong Kong",1057670270270.2703,"Asia",84
52085.168,170,370470000000,282462551367,"Colombia",7112.77344828762,"South America",85
0.00407,170,370470000000,282462551367,"Colombia",91024570024.57004,"South America",86
19629.59,152,351036000000,247045730477,"Chile",17883.002141155266,"South America",87
0.00132,152,351036000000,247045730477,"Chile",265936363636.36362,"South America",88
10495.295,203,318938000000,195305084919,"Czech Republic",30388.664634962617,"Europe",89
0.00013,203,318938000000,195305084919,"Czech Republic",2453369230769.231,"Europe",90
5545.475,246,314502000000,238502900312,"Finland",56713.26622155902,"Europe",91
0.00085,246,314502000000,238502900312,"Finland",370002352941.1765,"Europe",92
19892.812,642,312694000000,186690976699,"Romania",15718.944109058084,"Europe",93
0.01188,642,312694000000,186690976699,"Romania",26321043771.04377,"Europe",94
45504.56,368,299409000000,160021001474,"Iraq",6579.758160500838,"Asia",95
0.02266,368,299409000000,160021001474,"Iraq",13213106796.116507,"Asia",96
5228.1,554,276720000000,187517098554,"New Zealand",52929.362483502606,"Oceania",97
0.00826,554,276720000000,187517098554,"New Zealand",33501210653.75303,"Oceania",98
10247.605,620,267241000000,204836597909,"Portugal",26078.386120464245,"Europe",99
-0.00227,620,267241000000,204836597909,"Portugal",-117727312775.33041,"Europe",100
34352.719,604,257959999999.99997,192209529586,"Peru",7509.158154264295,"South America",101
0.0089,604,257959999999.99997,192209529586,"Peru",28984269662.921345,"South America",102
10341.277,300,234808000000,192690813127,"Greece",22705.8998613034,"Europe",103
-0.00421,300,234808000000,192690813127,"Greece",-55773871733.96674,"Europe",104
2716.391,634,228356000000,152451923077,"Qatar",84065.95368634339,"Asia",105
0.00789,634,228356000000,152451923077,"Qatar",28942458808.618507,"Asia",106
19606.633,398,225928000000,135005203998,"Kazakhstan",11523.039167408293,"Europe",107
0.01076,398,225928000000,135005203998,"Kazakhstan",20997026022.304832,"Europe",108
10156.239,348,219463000000,125816640421,"Hungary",21608.688019255947,"Europe",109
0.01896,348,219463000000,125816640421,"Hungary",11575052742.616034,"Europe",110
45606.48,12,199382000000,159049145187,"Algeria",4371.791026187507,"Africa",111
0.01566,12,199382000000,159049145187,"Algeria",12731928480.204342,"Africa",112
4310.108,414,180665000000,110346129191,"Kuwait",41916.583064739905,"Asia",113
0.00966,414,180665000000,110346129191,"Kuwait",18702380952.380955,"Asia",114
